"ID"	"largest_party"	"largest_party_percent"	"valdeltagande"	"KLARA_VALDISTRIKT"	"ALLA_VALDISTRIKT"	"MANDAT_M"	"MANDAT_ANDRING_M"	"ROSTER_M"	"PROCENT_M"	"PROCENT_ANDRING_M"	"MANDAT_C"	"MANDAT_ANDRING_C"	"ROSTER_C"	"PROCENT_C"	"PROCENT_ANDRING_C"	"MANDAT_FP"	"MANDAT_ANDRING_FP"	"ROSTER_FP"	"PROCENT_FP"	"PROCENT_ANDRING_FP"	"MANDAT_KD"	"MANDAT_ANDRING_KD"	"ROSTER_KD"	"PROCENT_KD"	"PROCENT_ANDRING_KD"	"MANDAT_S"	"MANDAT_ANDRING_S"	"ROSTER_S"	"PROCENT_S"	"PROCENT_ANDRING_S"	"MANDAT_V"	"MANDAT_ANDRING_V"	"ROSTER_V"	"PROCENT_V"	"PROCENT_ANDRING_V"	"MANDAT_MP"	"MANDAT_ANDRING_MP"	"ROSTER_MP"	"PROCENT_MP"	"PROCENT_ANDRING_MP"	"MANDAT_SD"	"MANDAT_ANDRING_SD"	"ROSTER_SD"	"PROCENT_SD"	"PROCENT_ANDRING_SD"	"MANDAT_FI"	"MANDAT_ANDRING_FI"	"ROSTER_FI"	"PROCENT_FI"	"PROCENT_ANDRING_FI"
"0687"	"S"	"S"	"85,7"	12	12	0	0	2273	18.9	-7.9	0	0	780	6.5	0	0	0	442	3.7	-1.7	0	0	930	7.7	-1.9	0	0	4374	36.3	1.3	0	0	477	4	0.1	0	0	651	5.4	-0.7	0	0	1874	15.6	9.2	0	0	172	1.4	1.3
"2104"	"S"	"S"	"75,7"	4	4	0	0	606	11.1	-4.4	0	0	258	4.7	0.7	0	0	150	2.7	-2.3	0	0	100	1.8	-0.1	0	0	2608	47.7	-2.2	0	0	580	10.6	-0.3	0	0	161	2.9	-1.1	0	0	869	15.9	8.5	0	0	86	1.6	1.3
"1272"	"S"	"S"	"83,3"	6	6	0	0	1155	14.8	-7.6	0	0	230	3	-0.6	0	0	224	2.9	-2.6	0	0	163	2.1	-0.7	0	0	2928	37.6	-3.6	0	0	393	5	0.4	0	0	342	4.4	0.5	0	0	2175	27.9	12.5	0	0	70	0.9	0.7
"2182"	"S"	"S"	"83,1"	14	14	0	0	2509	15.1	-5	0	0	1164	7	0.1	0	0	428	2.6	-1.3	0	0	464	2.8	-0.5	0	0	7251	43.5	-0.2	0	0	1034	6.2	-0.8	0	0	669	4	-1	0	0	2661	16	7.6	0	0	283	1.7	1.6
"1484"	"S"	"S"	"82,6"	10	10	0	0	1668	17.7	-7.7	0	0	505	5.4	1.1	0	0	581	6.2	-3.9	0	0	400	4.2	-0.4	0	0	3374	35.8	-1.3	0	0	572	6.1	0.5	0	0	526	5.6	-0.7	0	0	1512	16.1	10.3	0	0	225	2.4	2.1
"1286"	"S"	"S"	"84,1"	18	18	0	0	5429	28.1	-9.7	0	0	1196	6.2	0.4	0	0	905	4.7	-1.8	0	0	573	3	-0.5	0	0	5848	30.3	1.7	0	0	564	2.9	0.4	0	0	999	5.2	-0.2	0	0	3249	16.8	8.4	0	0	378	2	1.6
"1489"	"S"	"S"	"86,1"	26	26	0	0	5782	22.6	-5.3	0	0	1732	6.8	0.5	0	0	1760	6.9	-3.2	0	0	1763	6.9	-1.9	0	0	7091	27.7	1.8	0	0	1529	6	-0.2	0	0	2241	8.7	-0.6	0	0	2789	10.9	6.1	0	0	734	2.9	2.6
"1496"	"S"	"S"	"85,0"	27	27	0	0	8158	23.7	-6.5	0	0	2540	7.4	-0.2	0	0	1894	5.5	-1.8	0	0	1713	5	-1.3	0	0	11394	33.1	1.9	0	0	1357	3.9	-0.7	0	0	1922	5.6	-0.6	0	0	4399	12.8	7.5	0	0	654	1.9	1.6
"0761"	"S"	"S"	"85,4"	6	6	0	0	788	16.1	-7.9	0	0	339	6.9	-0.6	0	0	99	2	-2.4	0	0	118	2.4	-0.6	0	0	2059	42	0.3	0	0	284	5.8	0.1	0	0	214	4.4	-1.3	0	0	884	18	10.5	0	0	87	1.8	1.6
"2581"	"S"	"S"	"88,4"	31	32	0	0	3248	11.7	-2.2	0	0	1398	5	0.1	0	0	814	2.9	-1.3	0	0	998	3.6	-0.5	0	0	14880	53.6	-2.9	0	0	2214	8	0.1	0	0	1280	4.6	-0.6	0	0	2068	7.4	5.1	0	0	734	2.6	2.4
